,cluster
2995,1
2996,6
2997,6
2998,5
2999,5
3000,13
3001,6
3002,2
3003,6
3004,13
3005,4
3006,13
3007,9
3008,6
3009,11
3010,13
3011,7
3012,7
3013,4
3014,8
3015,4
3016,5
3017,13
3018,12
3019,4
3020,4
3021,5
3022,4
3023,13
3024,9
3025,9
3026,1
3027,3
3028,7
3029,2
3030,13
3031,4
3032,1
3033,4
3034,4
3035,8
3036,0
3037,4
3038,3
3039,13
3040,10
3041,11
3042,3
3043,9
3044,8
3045,6
3046,6
3047,2
3048,4
3049,13
3050,6
3051,11
3052,7
3053,9
3054,4
3055,4
3056,11
3057,2
3058,4
3059,4
3060,13
3061,11
3062,12
3063,3
3064,4
3065,3
3066,8
3067,10
3068,4
3069,0
3070,4
3071,4
3072,13
3073,5
3074,8
3075,11
3076,11
3077,0
3078,0
3079,13
3080,10
3081,3
3082,0
3083,8
3084,4
3085,4
3086,13
3087,6
3088,0
3089,5
3090,4
3091,0
3092,8
3093,8
3094,7
3095,7
3096,12
3097,2
3098,10
3099,0
3100,3
3101,6
3102,10
3103,7
3104,4
3105,4
3106,7
3107,2
3108,3
3109,8
3110,12
3111,4
3112,1
3113,2
3114,6
3115,7
3116,0
3117,13
3118,2
3119,5
3120,7
3121,5
3122,5
3123,2
3124,6
3125,7
3126,4
3127,2
3128,1
3129,5
3130,2
3131,6
3132,2
3133,6
3134,5
3135,2
3136,2
3137,4
3138,0
3139,5
3140,5
3141,9
3142,0
3143,9
3144,4
3145,3
3146,0
3147,9
3148,1
3149,8
3150,0
3151,7
3152,4
3153,6
3154,2
3155,3
3156,2
3157,1
3158,2
3159,6
3160,8
3161,4
3162,3
3163,7
3164,8
3165,6
3166,5
3167,4
3168,7
3169,5
3170,13
3171,8
3172,13
3173,4
3174,7
3175,2
3176,4
3177,9
3178,6
3179,2
3180,4
3181,9
3182,5
3183,13
3184,0
3185,6
3186,4
3187,4
3188,0
3189,13
3190,6
3191,9
3192,4
3193,3
3194,2
3195,4
3196,4
3197,0
3198,4
3199,0
3200,12
3201,1
3202,8
3203,8
3204,6
3205,0
3206,5
3207,13
3208,3
3209,0
3210,7
3211,4
3212,5
3213,9
3214,5
3215,0
3216,8
3217,0
3218,2
3219,6
3220,5
3221,7
3222,0
3223,10
3224,2
3225,4
3226,7
3227,3
3228,4
3229,5
3230,0
3231,10
3232,0
3233,12
3234,6
3235,13
3236,8
3237,13
3238,13
3239,4
3240,13
3241,4
3242,2
3243,7
3244,13
3245,4
3246,4
3247,4
3248,8
3249,13
3250,7
3251,5
3252,7
3253,4
3254,6
3255,9
3256,0
3257,11
3258,12
3259,7
3260,1
3261,13
3262,4
3263,10
3264,1
3265,6
3266,2
3267,8
3268,3
3269,0
3270,9
3271,0
3272,13
3273,4
3274,1
3275,5
3276,0
3277,7
3278,4
3279,0
3280,8
3281,2
3282,0
3283,4
3284,7
3285,0
3286,4
3287,13
3288,2
3289,6
3290,11
3291,6
3292,10
3293,9
3294,0
3295,4
3296,0
3297,6
3298,8
3299,9
3300,6
3301,6
3302,6
3303,4
3304,6
3305,8
3306,4
3307,10
3308,7
3309,7
3310,13
3311,0
3312,4
3313,4
3314,11
3315,2
3316,4
3317,13
3318,1
3319,6
3320,4
3321,13
3322,4
3323,5
3324,4
3325,4
3326,8
3327,5
3328,10
3329,9
3330,13
3331,2
3332,0
3333,2
3334,2
3335,5
3336,4
3337,4
3338,8
3339,7
3340,13
3341,9
3342,8
3343,6
3344,8
3345,1
3346,4
3347,13
3348,1
3349,8
3350,13
3351,1
3352,13
3353,0
3354,4
3355,7
3356,11
3357,4
3358,4
3359,6
3360,12
3361,6
3362,11
3363,11
3364,8
3365,1
3366,0
3367,8
3368,6
3369,7
3370,13
3371,11
3372,8
3373,10
3374,6
3375,10
3376,4
3377,4
3378,0
3379,7
3380,3
3381,4
3382,2
3383,8
3384,8
3385,8
3386,2
3387,7
3388,4
3389,0
3390,1
3391,11
3392,1
3393,0
3394,9
3395,11
3396,0
3397,0
3398,6
3399,5
3400,4
3401,5
3402,10
3403,3
3404,2
3405,12
3406,4
3407,4
3408,8
3409,4
3410,11
3411,9
3412,11
3413,12
3414,4
3415,7
3416,8
3417,4
3418,10
3419,8
3420,8
3421,13
3422,6
3423,6
3424,6
3425,4
3426,8
3427,8
3428,6
3429,13
3430,5
3431,10
3432,13
3433,2
3434,12
3435,13
3436,10
3437,7
3438,8
3439,7
3440,8
3441,13
3442,6
3443,2
3444,8
3445,10
3446,4
3447,12
3448,0
3449,3
3450,5
3451,8
3452,0
3453,13
3454,2
3455,4
3456,2
3457,4
3458,3
3459,1
3460,7
3461,4
3462,9
3463,4
3464,4
3465,12
3466,4
3467,5
3468,9
3469,4
3470,9
3471,10
3472,3
3473,8
3474,4
3475,4
3476,2
3477,10
3478,12
3479,5
3480,1
3481,2
3482,9
3483,4
3484,4
3485,0
3486,8
3487,4
3488,7
3489,11
3490,11
3491,8
3492,2
3493,4
3494,6
3495,9
3496,2
3497,2
3498,4
3499,8
3500,6
3501,3
3502,7
3503,2
3504,5
3505,9
3506,10
3507,3
3508,2
3509,2
3510,6
3511,7
3512,13
3513,13
3514,0
3515,7
3516,9
3517,6
3518,13
3519,0
3520,8
3521,7
3522,9
3523,6
3524,13
3525,6
3526,5
3527,4
3528,0
3529,4
3530,0
3531,0
3532,8
3533,12
3534,4
3535,2
3536,7
3537,2
3538,2
3539,0
3540,0
3541,2
3542,11
3543,5
3544,6
3545,7
3546,13
3547,13
3548,5
3549,2
3550,11
3551,0
3552,5
3553,2
3554,0
3555,8
3556,6
3557,7
3558,7
3559,9
3560,4
3561,3
3562,0
3563,7
3564,4
3565,2
3566,4
3567,13
3568,3
3569,5
3570,4
3571,4
3572,2
3573,0
3574,9
3575,0
3576,0
3577,7
3578,2
3579,0
3580,0
3581,4
3582,1
3583,6
3584,8
3585,10
3586,3
3587,7
3588,0
3589,4
3590,4
3591,5
3592,7
3593,13
3594,5
3595,8
3596,9
3597,0
3598,12
3599,5
3600,2
3601,3
3602,7
3603,4
3604,3
