,cluster
798,4
799,4
800,8
801,0
802,3
803,3
804,11
805,2
806,13
807,12
808,13
809,11
810,6
811,4
812,0
813,6
814,7
815,6
816,12
817,7
818,3
819,0
820,2
821,0
822,2
823,13
824,0
825,4
826,6
827,0
828,2
829,0
830,11
831,2
832,5
833,4
834,12
835,7
836,8
837,0
838,10
839,8
840,12
841,6
842,9
843,10
844,2
845,4
846,13
847,11
848,4
849,11
850,5
851,13
852,2
853,2
854,2
855,13
856,11
857,10
858,8
859,9
860,13
861,11
862,6
863,0
864,0
865,6
866,13
867,7
868,11
869,6
870,6
871,6
872,2
873,6
874,2
875,0
876,4
877,13
878,13
879,10
880,11
881,4
882,1
883,2
884,0
885,2
886,13
887,4
888,2
889,5
890,2
891,6
892,4
893,4
894,4
895,6
896,0
897,5
898,4
899,5
900,10
901,2
902,4
903,4
904,8
905,4
906,3
907,2
908,4
909,13
910,2
911,4
912,2
913,0
914,12
915,8
916,7
917,2
918,11
919,7
920,5
921,7
922,13
923,8
924,2
925,0
926,7
927,13
928,6
929,5
930,4
931,6
932,6
933,2
934,4
935,10
936,4
937,2
938,10
939,6
940,7
941,0
942,13
943,10
944,8
945,5
946,13
947,9
948,13
949,5
950,0
951,4
952,0
953,4
954,4
955,8
956,13
957,3
958,13
959,13
960,6
961,0
962,6
963,7
964,6
965,0
966,5
967,4
968,10
969,11
970,9
971,5
972,8
973,2
974,6
975,4
976,2
977,0
978,13
979,12
980,9
981,10
982,9
983,7
984,7
985,5
986,7
987,13
988,3
989,0
990,2
991,5
992,2
993,6
994,6
995,13
996,5
997,4
998,0
999,1
1000,7
1001,13
1002,13
1003,6
1004,13
1005,5
1006,13
1007,0
1008,4
1009,7
1010,2
1011,8
1012,3
1013,4
1014,0
1015,0
1016,2
1017,0
1018,6
1019,7
1020,4
1021,13
1022,12
1023,0
1024,0
1025,6
1026,6
1027,7
1028,4
1029,5
1030,3
1031,4
1032,10
1033,2
1034,7
1035,13
1036,0
1037,13
1038,6
1039,2
1040,0
1041,10
1042,13
1043,3
1044,7
1045,0
1046,6
1047,2
1048,5
1049,3
1050,13
1051,4
1052,4
1053,7
1054,13
1055,2
1056,1
1057,0
1058,4
1059,2
1060,13
1061,4
1062,10
1063,4
1064,2
1065,13
1066,7
1067,4
1068,10
1069,5
1070,0
1071,13
1072,9
1073,4
1074,4
1075,13
1076,2
1077,5
1078,8
1079,2
1080,2
1081,7
1082,0
1083,4
1084,7
1085,8
1086,8
1087,4
1088,4
1089,4
1090,9
1091,4
1092,7
1093,4
1094,5
1095,13
1096,3
1097,6
1098,4
1099,5
1100,7
1101,0
1102,0
1103,0
1104,1
1105,9
1106,7
1107,3
1108,10
1109,7
1110,4
1111,2
1112,0
1113,8
1114,7
1115,13
1116,4
1117,5
1118,8
1119,5
1120,11
1121,13
1122,11
1123,9
1124,12
1125,8
1126,0
1127,9
1128,11
1129,4
1130,2
1131,4
1132,2
1133,6
1134,0
1135,7
1136,2
1137,1
1138,5
1139,6
1140,13
1141,8
1142,5
1143,0
1144,4
1145,9
1146,12
1147,4
1148,0
1149,9
1150,4
1151,9
1152,12
1153,0
1154,3
1155,13
1156,11
1157,9
1158,7
1159,4
1160,4
1161,0
1162,7
1163,0
1164,4
1165,4
1166,2
1167,13
1168,6
1169,0
1170,13
1171,13
1172,0
1173,9
1174,2
1175,0
1176,2
1177,0
1178,11
1179,8
1180,8
1181,4
1182,6
1183,6
1184,2
1185,4
1186,2
1187,0
1188,2
1189,9
1190,7
1191,2
1192,13
1193,4
1194,3
1195,7
1196,0
1197,11
1198,7
1199,6
1200,8
1201,6
1202,0
1203,12
1204,0
1205,6
1206,6
1207,4
1208,5
1209,0
1210,2
1211,10
1212,6
1213,11
1214,4
1215,13
1216,0
1217,4
1218,2
1219,4
1220,13
1221,3
1222,6
1223,7
1224,7
1225,4
1226,4
1227,2
1228,4
1229,7
1230,0
1231,2
1232,13
1233,0
1234,9
1235,6
1236,4
1237,5
1238,12
1239,4
1240,7
1241,2
1242,3
1243,2
1244,6
1245,4
1246,3
1247,4
1248,13
1249,2
1250,2
1251,1
1252,0
1253,3
1254,8
1255,7
1256,5
1257,7
1258,0
1259,0
1260,8
1261,1
1262,9
1263,6
1264,9
1265,2
1266,6
1267,2
1268,5
1269,4
1270,6
1271,4
1272,1
1273,4
1274,8
1275,0
1276,3
1277,13
1278,0
1279,13
1280,5
1281,0
1282,12
1283,4
1284,4
1285,8
1286,7
1287,8
1288,13
1289,4
1290,7
1291,4
1292,7
1293,6
1294,0
1295,12
1296,13
1297,4
1298,2
1299,7
1300,5
1301,7
1302,8
1303,2
1304,8
1305,4
1306,0
1307,2
1308,13
1309,0
1310,13
1311,8
1312,2
1313,2
1314,6
1315,5
1316,6
1317,7
1318,9
1319,5
1320,10
1321,6
1322,4
1323,3
1324,1
1325,13
1326,1
1327,2
1328,4
1329,0
1330,4
1331,2
1332,12
1333,2
1334,13
1335,12
1336,2
1337,13
1338,6
1339,4
1340,6
1341,7
1342,1
1343,8
1344,13
1345,0
1346,5
1347,13
1348,13
1349,7
1350,2
1351,4
1352,4
1353,0
1354,5
1355,7
1356,6
1357,0
1358,2
1359,6
1360,5
1361,12
1362,0
1363,7
1364,4
1365,4
1366,4
1367,7
1368,0
1369,11
1370,13
1371,4
1372,0
1373,2
1374,12
1375,4
1376,4
1377,11
1378,4
1379,8
1380,0
1381,12
1382,8
1383,3
1384,7
1385,9
1386,9
1387,11
1388,7
1389,4
1390,4
1391,12
1392,5
1393,11
1394,4
1395,4
1396,12
1397,4
1398,6
1399,6
1400,10
1401,2
1402,11
1403,6
1404,6
1405,8
1406,4
1407,3
1408,8
1409,1
1410,4
1411,12
1412,1
1413,10
1414,11
1415,8
1416,2
1417,2
1418,4
1419,6
1420,0
1421,2
1422,0
1423,0
1424,2
1425,2
1426,11
1427,2
1428,4
1429,0
1430,4
1431,12
1432,13
1433,4
1434,1
1435,0
1436,6
1437,5
1438,8
1439,0
1440,6
1441,13
1442,7
1443,4
1444,5
1445,2
1446,4
1447,4
1448,2
1449,9
1450,2
1451,8
1452,0
1453,4
1454,11
1455,10
1456,4
1457,7
1458,4
1459,6
1460,6
1461,0
1462,4
1463,9
1464,4
1465,6
1466,6
1467,6
1468,13
1469,4
1470,0
1471,12
1472,13
1473,12
1474,13
1475,5
1476,4
1477,4
1478,7
1479,6
1480,5
1481,7
1482,8
1483,9
1484,8
1485,0
1486,6
1487,4
1488,4
1489,4
1490,4
1491,12
1492,13
1493,2
1494,4
1495,9
1496,13
1497,2
1498,4
1499,5
1500,9
1501,4
1502,7
1503,0
1504,0
1505,2
1506,9
1507,9
1508,5
1509,4
1510,5
1511,4
1512,2
1513,7
1514,13
1515,13
1516,4
1517,9
1518,7
1519,9
1520,8
1521,13
1522,2
1523,11
1524,13
1525,13
1526,4
1527,12
1528,8
1529,10
1530,7
1531,4
1532,8
1533,3
1534,2
1535,0
1536,6
1537,5
1538,12
1539,6
1540,5
1541,4
1542,2
1543,4
1544,0
1545,0
1546,9
1547,4
1548,4
1549,12
1550,7
1551,4
1552,9
1553,2
1554,0
1555,3
1556,0
1557,11
1558,6
1559,12
1560,7
1561,10
1562,4
1563,2
1564,0
1565,7
1566,2
1567,4
1568,6
1569,0
1570,13
1571,0
1572,0
1573,7
1574,9
1575,12
1576,6
1577,8
1578,1
1579,6
1580,5
1581,0
1582,2
1583,13
1584,13
1585,13
1586,0
1587,12
1588,4
1589,7
1590,4
1591,10
1592,2
1593,13
1594,4
1595,5
1596,6
1597,6
1598,6
1599,0
1600,0
1601,8
1602,0
1603,1
1604,0
1605,5
1606,0
1607,7
1608,0
1609,7
1610,4
1611,2
1612,6
1613,13
1614,11
1615,4
1616,9
1617,6
1618,9
1619,7
1620,11
1621,5
1622,3
1623,4
